,City,Cloudiness,Country,Date,Humidity,Temperature,Latitude,Longitude,Wind Speed
0,Qaanaaq,0,GL,1569077697,36,23.3,77.48,-69.36,7.49
1,Omboue,81,GA,1569077697,86,77.12,-1.57,9.26,15.1
2,Punta Arenas,20,CL,1569077697,75,42.8,-53.16,-70.91,25.28
3,Puerto Ayora,90,EC,1569077408,64,69.8,-0.74,-90.35,13.87
4,Zeerust,0,ZA,1569077698,10,87.8,-25.54,26.07,13.87
5,Lapao,0,BR,1569077698,21,90.98,-11.38,-41.83,11.16
6,Mar del Plata,1,AR,1569077698,22,51.74,-46.43,-67.52,24.58
7,New Norfolk,40,AU,1569077698,82,50.0,-42.78,147.06,16.11
8,Lebu,100,ET,1569077699,85,61.1,8.96,38.73,2.33
9,Kot Addu,20,PK,1569077699,59,91.4,30.47,70.97,2.28
10,Zhezkazgan,0,KZ,1569077699,26,71.6,47.8,67.71,6.71
11,Kodiak,75,US,1569077699,88,75.0,39.95,-94.76,12.75
12,Albany,1,US,1569077388,82,71.01,42.65,-73.75,0.78
13,Gazli,0,UZ,1569077699,19,75.5,40.13,63.45,3.24
14,Porto Torres,20,IT,1569077700,51,86.0,40.84,8.4,5.82
15,Mataura,0,NZ,1569077405,93,41.0,-46.19,168.86,1.01
16,Nikolskoye,90,RU,1569077438,93,46.99,59.7,30.79,4.47
17,Aksarayskiy,0,RU,1569077700,71,53.6,46.79,48.01,8.95
18,Saint-Philippe,1,CA,1569077411,60,73.0,45.36,-73.48,3.36
19,Viedma,0,AR,1569077700,39,54.44,-40.81,-62.99,22.84
20,Cherskiy,97,RU,1569077418,94,27.8,68.75,161.3,7.83
21,Kruisfontein,87,ZA,1569077427,65,61.64,-34.0,24.73,15.37
22,Leshukonskoye,100,RU,1569077701,92,36.8,64.9,45.76,6.64
23,Lagoa,75,PT,1569077432,88,75.99,37.14,-8.45,8.05
24,Lavrentiya,58,RU,1569077482,89,27.44,65.58,-170.99,3.06
25,Nelson Bay,100,AU,1569077701,77,66.2,-32.72,152.14,8.05
26,Zaozerne,89,UA,1569077701,65,59.3,51.37,23.94,9.19
27,Hasaki,75,JP,1569077479,88,68.0,35.73,140.83,5.82
28,Paamiut,100,GL,1569077467,95,40.04,61.99,-49.67,13.91
29,Faanui,56,PF,1569077425,83,79.28,-16.48,-151.75,14.43
30,Bathsheba,75,BB,1569077460,74,86.0,13.22,-59.52,25.28
31,Kaitangata,20,NZ,1569077438,75,48.99,-46.28,169.85,3.0
32,Dharchula,5,IN,1569077702,84,49.22,29.85,80.53,2.37
33,Saint George,20,GR,1569077461,46,71.6,39.45,22.34,11.41
34,Uncia,97,BO,1569077702,45,56.42,-18.47,-66.57,9.66
35,Itoman,90,JP,1569077703,85,73.4,26.12,127.67,29.97
36,Kraskino,0,RU,1569077703,76,48.86,42.71,130.78,4.32
